13:27:27.554217, (127.0.0.1:20001), (192.168.1.12:5000), 34560, 34560, ACK:0 FIN:0
13:27:27.904036, (127.0.0.1:20001), (192.168.1.12:5000), 35136, 35136, ACK:0 FIN:0
13:27:28.326975, (127.0.0.1:20001), (192.168.1.12:5000), 35712, 35712, ACK:0 FIN:0
13:27:28.752793, (127.0.0.1:20001), (192.168.1.12:5000), 36288, 36288, ACK:0 FIN:0
13:27:29.179000, (127.0.0.1:20001), (192.168.1.12:5000), 36864, 36864, ACK:0 FIN:0
13:27:29.600108, (127.0.0.1:20001), (192.168.1.12:5000), 37440, 37440, ACK:0 FIN:0
13:27:30.027249, (127.0.0.1:20001), (192.168.1.12:5000), 38016, 38016, ACK:0 FIN:0
13:27:30.448886, (127.0.0.1:20001), (192.168.1.12:5000), 38592, 38592, ACK:0 FIN:0
13:27:30.799283, (127.0.0.1:20001), (192.168.1.12:5000), 39168, 39168, ACK:0 FIN:0
13:27:31.224175, (127.0.0.1:20001), (192.168.1.12:5000), 39744, 39744, ACK:0 FIN:0
13:27:31.648995, (127.0.0.1:20001), (192.168.1.12:5000), 40320, 40320, ACK:0 FIN:0
13:27:32.039191, (127.0.0.1:20001), (192.168.1.12:5000), 40896, 40896, ACK:0 FIN:0
13:27:32.463836, (127.0.0.1:20001), (192.168.1.12:5000), 41472, 41472, ACK:0 FIN:0
13:27:32.814552, (127.0.0.1:20001), (192.168.1.12:5000), 42048, 42048, ACK:0 FIN:0
13:27:33.237828, (127.0.0.1:20001), (192.168.1.12:5000), 42624, 42624, ACK:0 FIN:0
13:27:33.659841, (127.0.0.1:20001), (192.168.1.12:5000), 43200, 43200, ACK:0 FIN:0
13:27:34.085859, (127.0.0.1:20001), (192.168.1.12:5000), 43776, 43776, ACK:0 FIN:0
13:27:34.511414, (127.0.0.1:20001), (192.168.1.12:5000), 44352, 44352, ACK:0 FIN:0
13:27:34.861769, (127.0.0.1:20001), (192.168.1.12:5000), 44928, 44928, ACK:0 FIN:0
13:27:35.284825, (127.0.0.1:20001), (192.168.1.12:5000), 45504, 45504, ACK:0 FIN:0
13:27:35.710739, (127.0.0.1:20001), (192.168.1.12:5000), 46080, 46080, ACK:0 FIN:0
13:27:36.134196, (127.0.0.1:20001), (192.168.1.12:5000), 46656, 46656, ACK:0 FIN:0
13:27:36.484300, (127.0.0.1:20001), (192.168.1.12:5000), 47232, 47232, ACK:0 FIN:0
13:27:36.907496, (127.0.0.1:20001), (192.168.1.12:5000), 47808, 47808, ACK:0 FIN:0
13:27:37.329340, (127.0.0.1:20001), (192.168.1.12:5000), 48384, 48384, ACK:0 FIN:0
13:27:37.751544, (127.0.0.1:20001), (192.168.1.12:5000), 48960, 48960, ACK:0 FIN:0
13:27:38.106298, (127.0.0.1:20001), (192.168.1.12:5000), 49536, 49536, ACK:0 FIN:0
13:27:38.529934, (127.0.0.1:20001), (192.168.1.12:5000), 50112, 50112, ACK:0 FIN:0
13:27:39.014016, (127.0.0.1:20001), (192.168.1.12:5000), 50688, 50688, ACK:0 FIN:0
13:27:39.435391, (127.0.0.1:20001), (192.168.1.12:5000), 51264, 51264, ACK:0 FIN:0
13:27:39.786779, (127.0.0.1:20001), (192.168.1.12:5000), 51840, 51840, ACK:0 FIN:0
13:27:40.211927, (127.0.0.1:20001), (192.168.1.12:5000), 52416, 52416, ACK:0 FIN:0
13:27:40.633220, (127.0.0.1:20001), (192.168.1.12:5000), 52992, 52992, ACK:0 FIN:0
13:27:41.058334, (127.0.0.1:20001), (192.168.1.12:5000), 53568, 53568, ACK:0 FIN:0
13:27:41.409863, (127.0.0.1:20001), (192.168.1.12:5000), 54144, 54144, ACK:0 FIN:0
13:27:41.832484, (127.0.0.1:20001), (192.168.1.12:5000), 54720, 54720, ACK:0 FIN:0
13:27:42.254609, (127.0.0.1:20001), (192.168.1.12:5000), 55296, 55296, ACK:0 FIN:0
13:27:42.679469, (127.0.0.1:20001), (192.168.1.12:5000), 55872, 55872, ACK:0 FIN:0
13:27:43.027660, (127.0.0.1:20001), (192.168.1.12:5000), 56448, 56448, ACK:0 FIN:0
13:27:43.452577, (127.0.0.1:20001), (192.168.1.12:5000), 57024, 57024, ACK:0 FIN:0
13:27:43.874789, (127.0.0.1:20001), (192.168.1.12:5000), 57600, 57600, ACK:0 FIN:0
13:27:44.299743, (127.0.0.1:20001), (192.168.1.12:5000), 58176, 58176, ACK:0 FIN:0
13:27:44.725868, (127.0.0.1:20001), (192.168.1.12:5000), 58752, 58752, ACK:0 FIN:0
13:27:45.148666, (127.0.0.1:20001), (192.168.1.12:5000), 59328, 59328, ACK:0 FIN:0
13:27:45.575663, (127.0.0.1:20001), (192.168.1.12:5000), 59904, 59904, ACK:0 FIN:0
13:27:46.035911, (127.0.0.1:20001), (192.168.1.12:5000), 60480, 60480, ACK:0 FIN:0
13:27:46.462749, (127.0.0.1:20001), (192.168.1.12:5000), 61056, 61056, ACK:0 FIN:0
13:27:46.886889, (127.0.0.1:20001), (192.168.1.12:5000), 61632, 61632, ACK:0 FIN:0
13:27:47.310476, (127.0.0.1:20001), (192.168.1.12:5000), 62208, 62208, ACK:0 FIN:0
13:27:47.737810, (127.0.0.1:20001), (192.168.1.12:5000), 62784, 62784, ACK:0 FIN:0
13:27:48.161354, (127.0.0.1:20001), (192.168.1.12:5000), 63360, 63360, ACK:0 FIN:0
13:27:48.583704, (127.0.0.1:20001), (192.168.1.12:5000), 63936, 63936, ACK:0 FIN:0
13:27:49.025080, (127.0.0.1:20001), (192.168.1.12:5000), 64512, 64512, ACK:0 FIN:0
13:27:49.449298, (127.0.0.1:20001), (192.168.1.12:5000), 65088, 65088, ACK:0 FIN:0
13:27:49.872740, (127.0.0.1:20001), (192.168.1.12:5000), 65664, 65664, ACK:0 FIN:0
13:27:50.299041, (127.0.0.1:20001), (192.168.1.12:5000), 66240, 66240, ACK:0 FIN:0
13:27:50.724170, (127.0.0.1:20001), (192.168.1.12:5000), 66816, 66816, ACK:0 FIN:0
13:27:51.148972, (127.0.0.1:20001), (192.168.1.12:5000), 67392, 67392, ACK:0 FIN:0
13:27:51.498472, (127.0.0.1:20001), (192.168.1.12:5000), 67968, 67968, ACK:0 FIN:0
13:27:51.920072, (127.0.0.1:20001), (192.168.1.12:5000), 68544, 68544, ACK:0 FIN:0
13:27:52.345039, (127.0.0.1:20001), (192.168.1.12:5000), 69120, 69120, ACK:0 FIN:0
13:27:52.767576, (127.0.0.1:20001), (192.168.1.12:5000), 69696, 69696, ACK:0 FIN:0
13:27:53.116793, (127.0.0.1:20001), (192.168.1.12:5000), 70272, 70272, ACK:0 FIN:0
13:27:53.541443, (127.0.0.1:20001), (192.168.1.12:5000), 70848, 70848, ACK:0 FIN:0
13:27:54.018600, (127.0.0.1:20001), (192.168.1.12:5000), 71424, 71424, ACK:0 FIN:0
13:27:54.440233, (127.0.0.1:20001), (192.168.1.12:5000), 72000, 72000, ACK:0 FIN:0
13:27:54.865217, (127.0.0.1:20001), (192.168.1.12:5000), 72576, 72576, ACK:0 FIN:0
13:27:55.216264, (127.0.0.1:20001), (192.168.1.12:5000), 73152, 73152, ACK:0 FIN:0
13:27:55.641711, (127.0.0.1:20001), (192.168.1.12:5000), 73728, 73728, ACK:0 FIN:0
13:27:56.067576, (127.0.0.1:20001), (192.168.1.12:5000), 74304, 74304, ACK:0 FIN:0
13:27:56.418869, (127.0.0.1:20001), (192.168.1.12:5000), 74880, 74880, ACK:0 FIN:0
13:27:56.841930, (127.0.0.1:20001), (192.168.1.12:5000), 75456, 75456, ACK:0 FIN:0
13:27:57.266956, (127.0.0.1:20001), (192.168.1.12:5000), 76032, 76032, ACK:0 FIN:0
13:27:57.690226, (127.0.0.1:20001), (192.168.1.12:5000), 76608, 76608, ACK:0 FIN:0
13:27:58.115172, (127.0.0.1:20001), (192.168.1.12:5000), 77184, 77184, ACK:0 FIN:0
13:27:58.540570, (127.0.0.1:20001), (192.168.1.12:5000), 77760, 77760, ACK:0 FIN:0
13:27:59.016792, (127.0.0.1:20001), (192.168.1.12:5000), 78336, 78336, ACK:0 FIN:0
13:27:59.440976, (127.0.0.1:20001), (192.168.1.12:5000), 78912, 78912, ACK:0 FIN:0
13:27:59.865043, (127.0.0.1:20001), (192.168.1.12:5000), 79488, 79488, ACK:0 FIN:0
13:28:00.289369, (127.0.0.1:20001), (192.168.1.12:5000), 80064, 80064, ACK:0 FIN:0
13:28:00.711635, (127.0.0.1:20001), (192.168.1.12:5000), 80640, 80640, ACK:0 FIN:0
13:28:01.060722, (127.0.0.1:20001), (192.168.1.12:5000), 81216, 81216, ACK:0 FIN:0
13:28:01.485296, (127.0.0.1:20001), (192.168.1.12:5000), 81792, 81792, ACK:0 FIN:0
13:28:01.910457, (127.0.0.1:20001), (192.168.1.12:5000), 82368, 82368, ACK:0 FIN:0
13:28:02.259195, (127.0.0.1:20001), (192.168.1.12:5000), 82944, 82944, ACK:0 FIN:0
13:28:02.685275, (127.0.0.1:20001), (192.168.1.12:5000), 83520, 83520, ACK:0 FIN:0
13:28:03.110531, (127.0.0.1:20001), (192.168.1.12:5000), 84096, 84096, ACK:0 FIN:0
13:28:03.534138, (127.0.0.1:20001), (192.168.1.12:5000), 84672, 84672, ACK:0 FIN:0
13:28:04.028514, (127.0.0.1:20001), (192.168.1.12:5000), 85248, 85248, ACK:0 FIN:0
13:28:04.455938, (127.0.0.1:20001), (192.168.1.12:5000), 85824, 85824, ACK:0 FIN:0
13:28:04.878875, (127.0.0.1:20001), (192.168.1.12:5000), 86400, 86400, ACK:0 FIN:0
13:28:05.301891, (127.0.0.1:20001), (192.168.1.12:5000), 86976, 86976, ACK:0 FIN:0
13:28:05.726773, (127.0.0.1:20001), (192.168.1.12:5000), 87552, 87552, ACK:0 FIN:0
13:28:06.151278, (127.0.0.1:20001), (192.168.1.12:5000), 88128, 88128, ACK:0 FIN:0
13:28:06.575190, (127.0.0.1:20001), (192.168.1.12:5000), 88704, 88704, ACK:0 FIN:0
13:28:07.027819, (127.0.0.1:20001), (192.168.1.12:5000), 89280, 89280, ACK:0 FIN:0
13:28:07.431336, (127.0.0.1:20001), (192.168.1.12:5000), 89856, 89856, ACK:0 FIN:0
13:28:07.855262, (127.0.0.1:20001), (192.168.1.12:5000), 90432, 90432, ACK:0 FIN:0
13:28:08.276212, (127.0.0.1:20001), (192.168.1.12:5000), 91008, 91008, ACK:0 FIN:0
13:28:08.699693, (127.0.0.1:20001), (192.168.1.12:5000), 91584, 91584, ACK:0 FIN:0
13:28:09.125223, (127.0.0.1:20001), (192.168.1.12:5000), 92160, 92160, ACK:0 FIN:0
13:28:09.550861, (127.0.0.1:20001), (192.168.1.12:5000), 92736, 92736, ACK:0 FIN:0
13:28:10.006995, (127.0.0.1:20001), (192.168.1.12:5000), 93312, 93312, ACK:0 FIN:0
13:28:10.431451, (127.0.0.1:20001), (192.168.1.12:5000), 93888, 93888, ACK:0 FIN:0
13:28:10.853664, (127.0.0.1:20001), (192.168.1.12:5000), 94464, 94464, ACK:0 FIN:0
13:28:11.277270, (127.0.0.1:20001), (192.168.1.12:5000), 95040, 95040, ACK:0 FIN:0
13:28:11.703444, (127.0.0.1:20001), (192.168.1.12:5000), 95616, 95616, ACK:0 FIN:0
13:28:12.130921, (127.0.0.1:20001), (192.168.1.12:5000), 96192, 96192, ACK:0 FIN:0
13:28:12.555355, (127.0.0.1:20001), (192.168.1.12:5000), 96768, 96768, ACK:0 FIN:0
13:28:13.015884, (127.0.0.1:20001), (192.168.1.12:5000), 97344, 97344, ACK:0 FIN:0
13:28:13.439656, (127.0.0.1:20001), (192.168.1.12:5000), 97920, 97920, ACK:0 FIN:0
13:28:13.790997, (127.0.0.1:20001), (192.168.1.12:5000), 98496, 98496, ACK:0 FIN:0
13:28:14.213095, (127.0.0.1:20001), (192.168.1.12:5000), 99072, 99072, ACK:0 FIN:0
13:28:14.636818, (127.0.0.1:20001), (192.168.1.12:5000), 99648, 99648, ACK:0 FIN:0
13:28:15.062391, (127.0.0.1:20001), (192.168.1.12:5000), 100224, 100224, ACK:0 FIN:0
13:28:15.486995, (127.0.0.1:20001), (192.168.1.12:5000), 100800, 100800, ACK:0 FIN:0
13:28:15.912291, (127.0.0.1:20001), (192.168.1.12:5000), 101376, 101376, ACK:0 FIN:0
13:28:16.335038, (127.0.0.1:20001), (192.168.1.12:5000), 101952, 101952, ACK:0 FIN:0
13:28:16.762082, (127.0.0.1:20001), (192.168.1.12:5000), 102528, 102528, ACK:0 FIN:0
13:28:17.111213, (127.0.0.1:20001), (192.168.1.12:5000), 103104, 103104, ACK:0 FIN:0
